date,media,medium,daypart,audiocode,duration,grp_a_18_24,grp_a_20_30,cost,year,month
2018-07-05,TV,WP,OFF,236576,15,0.247,0.312,215.25,2018,07
2018-07-04,TV,4FunTV,OFF,235668,30,0.0,0.0,1230.0,2018,07
2018-07-04,TV,Lifetime,PT,236576,15,0.0,0.0,430.5,2018,07
2018-07-04,TV,4FunTV,PT,236576,15,0.1045,0.132,4649.4,2018,07
2018-07-04,TV,Lifetime,OFF,235668,30,0.0,0.0,615.0,2018,07
2018-07-05,Radio,,,21960640,,,,5011,2018,07
2018-07-04,TV,4FunTV,OFF,236576,15,0.228,0.288,31598.7,2018,07
2018-07-05,TV,4FunTV,PT,236576,15,0.019,0.024,4821.6,2018,07
2018-07-04,Cinema,,,60718380,,,,18798,2018,07
2018-07-04,TV,WP,OFF,236576,15,0.133,0.168,215.25,2018,07
2018-07-05,TV,WP,PT,236576,15,0.019,0.024,292.74,2018,07
2018-07-04,TV,Lifetime,OFF,236576,15,0.0095,0.012,5166.0,2018,07
2018-07-05,TV,Lifetime,PT,236576,15,0.0,0.0,861.0,2018,07
2018-07-04,TV,WP,PT,236576,15,0.0475,0.06,292.74,2018,07
2018-07-05,TV,Lifetime,OFF,236576,15,0.038,0.048,5166.0,2018,07
2018-07-05,TV,4FunTV,OFF,236576,15,0.6745,0.852,31598.7,2018,07
2018-07-05,Cinema,,,60718380,,,,18798,2018,07
2018-07-04,Radio,,,21960640,,,,4726,2018,07
